순위	단어	품사	풀이	등급
3459	곡02	명	曲	3
3460	곡식	명	穀食	3
3675	곤란하다	형	困難-	3
307	곧01	부		1
6180	곧다01	형		3
3215	곧바로	부		2
9044	곧이어	부		3
3970	곧잘	부		3
4767	곧장	부		3
1083	골14	명	go1l	3
4258	골고루	부		3
2821	골목01	명		2
7448	골목길	명		2
3971	골짜기01	명		3
6181	골치01	명		3
5717	골프	명	golf	2
6015	골프장	명	golf場	2
4671	곰03	명	동물	2
1326	곱다02	형	아름답다	2
116	곳01	명		1
2589	곳곳	명		2
988	공01	명	축구~	1
623	공간05	명	空間	2
1338	공개02	명	公開	3
2703	공개하다	동	公開-	3
1988	공격02	명	攻擊	3
4182	공격하다	동	攻擊-	3
4114	공공02	명	公共	3
4043	공군02	명	空軍	3
1772	공급02	명	供給	3
1433	공기06	명	空氣	2
9047	공기07	명	空器	3
953	공동02	명	共同	2
1865	공무원	명	公務員	2
490	공부01	명	工夫	1
807	공부하다	동	工夫-	1
1374	공사02	명	工事	2
2462	공식01	명	公式	3
4325	공식적	명	公式的	3
1084	공업01	명	工業	3
1067	공연02	명	公演	2
9462	공연되다	동	公演-	3
4864	공연장	명	公演場	3
10400	공연하다02	동	公演-	3
6017	공연히02	부	空然-	3
2950	공원03	명	公園	1
685	공장02	명	工場	2
8313	공주01	명	公主	3
3676	공중03	명	空中	3
8672	공중전화	명	公衆電話	1
6540	공짜	명	空-	2
5179	공책01	명	空冊	1
8673	공통	명	共通	3
6541	공통되다	동	共通-	3
6362	공통적	명	共通的	3
7696	공통점	명	共通點	3
2152	공포08	명	恐怖	3
2433	공항02	명	空港	1
20070	공항버스	명	空港2us	2
3677	공해01	명	公害	3
9466	공휴일	명	公休日	1
3105	과04	명	科	3
996	과10	명	課	1
8674	과거02	명	科擧	3
549	과거03	명	過去	2
2704	과목02	명	科目	2
865	과연01	부	果然	3
7701	과외	명	課外	3
1491	과일01	명		1
4402	과자02	명	菓子	1
2351	과장07	명	課長	2
188	과정03	명	過程	3
6018	과정04	명	課程	3
1259	과제04	명	課題	2
346	과학	명	科學	2
1718	과학자	명	科學者	2
2734	과학적	명	科學的	2
1814	관객	명	觀客	2
152	관계05	명	關係	2
3791	관계되다	동	關係-	3
5077	관계없이	부	關係-	3
967	관계자	명	關係者	3
1719	관광02	명	觀光	2
3730	관광객	명	觀光客	2
20077	관광버스	명	觀光2us	3
7182	관광지	명	觀光地	2
2189	관념02	명	觀念	3
9923	관람	명	觀覽	3
7453	관람객	명	觀覽客	3
420	관련	명	關聯	2
1288	관련되다	동	關聯-	2
1481	관련하다	동	關聯-	2
2646	관리01	명	官吏	3
858	관리04	명	管理	2
3909	관리하다	동	管理-	3
3566	관습	명	慣習	3
312	관심01	명	關心	2
5720	관심사	명	關心事	3
839	관점02	명	觀點	3
3216	관찰01	명	觀察	3
2070	관찰하다	동	觀察-	2
301	관하다02	동	關-	2
3567	광경	명	光景	3
316	광고02	명	廣告	2
3392	광장02	명	廣場	3
광주	고	光州	2
813	괜찮다	형		1
2071	괜히	부		2
3910	괴로움	명		3
9474	괴로워하다	동		3
3516	괴롭다	형		2
4489	괴롭히다	동		3
9052	굉장하다	형	宏壯-	3
2190	굉장히	부	宏壯-	2
2887	교과서	명	敎科書	1
7703	교내01	명	校內	3
5582	교대01	명	交代	3
2402	교류01	명	交流	2
6961	교문01	명	校門	2
7185	교복01	명	校服	3
474	교사09	명	敎師	3
371	교수06	명	敎授	1
9475	교시03	의	校時	3
1339	교실	명	敎室	1
4115	교양02	명	敎養	3
9930	교외01	명	郊外	3
198	교육	명	敎育	2
9931	교육비	명	敎育費	3
6363	교육자	명	敎育者	3
1103	교장03	명	校長	3
6364	교재01	명	敎材	3
4769	교직04	명	敎職	3
4403	교체01	명	交替	3
1249	교통01	명	交通	1
3517	교통사고	명	交通事故	2
7186	교포02	명	僑胞	2
3107	교환01	명	交換	2
4582	교환하다01	동	交換-	3
1708	교회02	명	敎會	1
3973	교훈02	명	敎訓	3
10999	구01	수	九	1
7705	구15	명	區	3
2705	구경01	명		1
3176	구경하다	동		2
3217	구두01	명		1
3974	구르다01	동	바위가 ~	3
2493	구름01	명		1
2055	구멍	명		2
4490	구별02	명	區別	3
5722	구별되다	동	區別-	3
3731	구별하다	동	區別-	3
2590	구분06	명	區分	3
5181	구분되다	동	區分-	3
2735	구분하다03	동	區分-	3
2494	구석01	명		3
